video_id,title,views,likes,upload_date,transcript_available,transcript
5kLsYVoEwn0,Stop Wearing Caps EVERY Day,4927134,121868,31-01-2026,TRUE,"What happens if you wear a cap every single day? Day one, you look sharp. No bad hair days. No worries. You feel like a legend. Day 30, your scalp is starting to suffocate. Sweat, oils, and bacteria are throwing a party under that fabric. You're dealing with hat acne and a permanent itch that won't go away. Day 90. The hat hair is now your permanent hairstyle. Your follicles are starved for oxygen and the constant pressure is making your hair brittle and weak. Day 180. Traction alipcia has joined the chat. Now, every time you shower, you're seeing clumps of hair clogging the drain. Your hairline is literally moving back just to escape the pressure. Day 365. You upgraded your outfit, but you ruined the hardware. Your scalp is totally cooked. All that constant squeezing made your hair roots shrink until they basically disappeared. Your head has definitely seen better"
F14jVZujD_g,Why You MUST Stop Biting Nails,1955426,61288,30-01-2026,TRUE,"What actually happens to your body when you bite your nails? Think about it. Your hands touch everything. Your nails are like tiny germ sponges. I'm talking millions of bacteria and viruses from everything you've touched today. Door handles, phones, money, it's all there. Number one, when you bite, those germs go straight to your stomach. We're talking stomach flu vibes, cramps, and some pretty nasty bacteria that you definitely don't want. Number two, you're creating tiny wounds around your fingers. These become gateways for infections that cause irritation and inflammation. Basically, you're turning your fingertips [music] into a total playground for bacteria. Number three, your teeth are paying the price. Cracked enamel, misaligned bite, and jaw [music] problems that'll cost you thousands at the dentist. Number four, your body interprets it as a sign of stress or anxiety. It's not just a habit. It's a way for your mind to express constant tension. And here's the creepy part. Most people bite their nails without even realizing it. Your body is literally eating itself from stress."
qx-6XQPH7Y0,Is Netflix Ending You?,4861615,196957,28-01-2026,TRUE,"How many hours of Netflix will actually end you? Hour one, you settle into your couch and hit play on episode 1. The glow of the screen fills your eyes as you smile. Hour five, your eyes are burning. The constant blue light has suppressed your melatonin so much that your vision is blurry and your eyes are bone dry. You ignore the bathroom urges and keep watching. Hour 15. Living on snacks and soda. Your heart rate spikes from the sugar. As your pulse races, your posture fails. Your spine curves into a permanent hunch and your back muscles are screaming in pain, but you just hit next episode. Hour 30. You haven't left the couch and brain fog takes hold. You suddenly realize you don't remember what happened in the last three episodes. But that cliffhanger, you need to know what happens next. Hour 50. You aggressively shove popcorn into your mouth without looking away. Reality is getting blurry. Your brain is begging for sleep. Blood clots start forming in your motionless legs. Hour 72. You finally stand up to use the bathroom. The clot breaks loose, travels to your lungs, and it's over."
Gc4zmx0wPA4,What Braces ACTUALLY Do,15407848,589506,28-01-2026,TRUE,"What actually happens to your mouth when you get braces? Day one. It feels weird. Your mouth feels full of metal and you keep licking your teeth. You try to bite an apple. Big mistake. Too painful. You look in the mirror and think, ""Is this really worth it?"" Day seven. Food is the enemy. Popcorn kernels get stuck everywhere. You spend 10 minutes brushing after every snack. The hunger is real. You're chugging soup and smoothies while your friends eat pizza and popcorn. Day 30. Magic is happening. Those gaps are closing. Your mouth is basically leveling up to its final boss form. Your jawbone is actually dissolving and rebuilding itself to let your teeth move. You feel more confident. Day 180. Your face shape is actually changing. Your jaw looks better. Your smile is wider. And your confidence is through the roof. You aren't even shy to show them off anymore. Day 360. They're off. Your teeth feel super smooth and kind of slimy. But wow, look at that Hollywood smile. You didn't just fix your teeth. You upgraded your whole face. It was worth every single"
Z5qPF5AWULo,What If You NEVER Stop Laughing?,6648555,249814,26-01-2026,TRUE,"What if you actually never stopped laughing? 5 minutes, you feel amazing. Your brain is flooded with endorphins and dopamine. Your heart rate is up and you've just had the best abs workout of your life. 1 hour, the fun is over. Your facial muscles are cramping and your throat is raw from constant gasping. Your brain starts to panic as it loses control over your vocal cords. 3 hours, you're struggling to breathe because your lungs can't fully inhale between spasms. Your oxygen levels drop and you start to feel lightaded and dizzy. 5 hours, your brain is totally glitched. It can't tell the difference between joy and straight up agony anymore. The shaking gets so violent, it's now strong enough to actually snap your ribs like twigs. You're still laughing, but your eyes are literally begging for it to stop. Team hours, your brain is totally fried, but your body just won't let you stop. Hallucinations kick in. You look over and the shadows on your couch are straight up laughing along with you. 23 hours, your body hits its limit. Your blood pressure drops. Your heart enters arhythmia and your brain finally shuts"
2gW-6g9qJ3U,Could You Survive the Desert?,4469610,139235,24-01-2026,TRUE,"How long can you actually survive in the desert without water? Hour one. The sun is brutal and you're losing a full cord of sweat. Your mouth feels like sandpaper and your throat tightens. Every breath you take sucks the remaining moisture straight out of your lungs. Hour 12. The sweating stops. Your body is desperately [music] trying to save water, but your internal temperature is rising like a preheating oven. Your heart hammers against your ribs, struggling to pump blood through your veins. Hour 24. The heat is relentless. Your brain cells begin to shrink as they're robbed of moisture. A massive throbbing headache sets in as your skull feels like it's trapped in a metal vice. Hour 48. You're sprinting toward a crystalclear oasis that's actually a death trap. Your brain is literally frying and the desert is laughing at you. Hour 72. Your kidneys are shutting down, flooding your system with toxins. Your internal organs are literally cooking in the 120° heat. Your tongue swells so much you can't even close your mouth. Total system failure."
cAqkKWAzjVM,30 Days of Daily Creatine,7401217,419556,23-01-2026,TRUE,"What happens if you take creatine every day? Day one starts off rough. It tastes like chalky water. You look in the mirror, nothing happened. You feel scammed. Day seven and thirst takes over. You are chugging gallons of water. The scale spikes up 3 lb. You panic thinking you got fat. You didn't. Your muscles are just thirsty, pulling water into the cells like a sponge. Day 14. Saturation hits. Our ATP stores are fully charged, flooding your body with jet fuel. In the gym, that heavy weight feels lighter. The fatigue doesn't hit. You look bigger because you are bigger. Day 30. It's not just muscles. Your brain fog disappears. Creatine fuels your neurons, too. You are laser focused. That last rep that usually crushes you, it flies up. Your recovery speed is now terrifyingly fast. Day 60. You look in the mirror and see a different person. You are unstoppable. You're fuller, vascular, and stronger. You haven't just built muscle."
37FeOBMK2jE,Don't Drink This Much Milk!,5325244,170250,23-01-2026,TRUE,"How many glasses of milk does it take to end you? One glass. You lift the cold glass to your lips. The liquid is smooth and creamy. You wipe the milk mustache away, feeling refreshed. Five glasses. The refreshing chill is gone. Now the milk feels heavy in your mouth, almost like slime. You have to force each swallow. Your belly is tight and sloshes loudly with every breath you take. 15 glasses. You are drowning in dairy. The milk sitting in your gut is mixing with acid, curdling into a solid, heavy cheese inside you. A sour taste rises in your throat. 25 glasses. Milk spills down your chin because you can't swallow fast enough. Your blood is becoming dangerously diluted. Veins pump mostly water. Your cells are starving. 35 glasses. You can't taste the cream anymore. Just the metallic taste of nausea. Your brain is swelling against your skull from water intoxication. 42 glasses. The glass slips from your wet fingers and shatters. Your stomach finally ruptures under the pressure."
5-WmFLeA2kA,What If You NEVER Cleaned Your Room?,4893756,116533,21-01-2026,TRUE,"What happens if you never clean your room? Day one, you toss a hoodie on the floor. No big deal. Your brain releases a bit of cortisol from the clutter, but you ignore it and keep scrolling. One week, millions of microscopic dust mites are now feasting on your dead skin cells. Your eyes burn and you start sneezing uncontrollably as you inhale their waste. One month, that halfeaten pizza under your bed. It's a fuzzy green science project now. Toxic mold spores fill the air. Every breath you take sends fungus deep into your lungs, causing a persistent hacking cough. 6 months. The smell is unbearable. Ammonia from the waste and decaying organic matter irritates your throat. Your room is now a class 3 biohazard zone. One year the visitors arrive. Cockroaches and silverfish move in, attracted by the rotting scraps. They crawl over you while you sleep, leaving bacteria like salmonella on your skin and pillow. 3 years. A rare fungal infection enters your bloodstream. Your lungs fill with fluid and you struggle for air."
LodF4DJAp1A,What If You Got RABIES?,3717647,167410,19-01-2026,TRUE,"What does rabies actually do to your body? Day one, it starts with a tiny bite or scratch from a wild animal. You feel totally fine, but the virus is already hiding in your muscles, planning its attack. Week two, the virus is invisible. It travels through your nerves like they are tiny roads, moving slowly toward your spine and brain. Week three, suddenly the flu hits. Fever, headaches, and a strange tingling at the bite site. The virus has finally breached your brain's last line of defense, and there is no turning back. If you haven't seen a doctor yet, it's already too late. Week four. Now you're dying of thirst, but the mere sight of water causes your throat to spasm in terror. This is hydrophobia. Your body is literally afraid to swallow. Week five, total meltdown. Foam leaks from your face as the virus cooks your brain. You lose control, start seeing things, and feel a terrifying animall-like urge to bite anyone standing near you. Week seven, the end. Your brain swells so much it literally crushes itself against the inside of your skull."
